building_id,vegetation_presence,solar_panel_presence,facade_material,roof_type,window_wall_ratio,surrounding_green_space,green_certification,solar_installation,green_roof,year_built,insulation_type,hvac_type,building_function,energy_consumption_sqft,carbon_emission_tons,rainwater_harvesting,smart_systems,Environment Design,energy_efficiency_score
1,0,0,concrete,flat,0.77,0.6,LEED,0,0,1987,none,renewable,commercial,10.05,4.43,0,1,Non-Green,B
2,1,1,glass,flat,0.48,0.45,GreenMark,1,0,2015,eco,conventional,residential,5.0,1.12,0,1,Green,A
3,0,1,concrete,green,0.61,0.69,LEED,1,0,1992,standard,renewable,institutional,13.93,5.67,0,0,Non-Green,C
4,0,0,concrete,green,0.9,0.63,LEED,0,0,2019,eco,renewable,institutional,5.0,1.0,0,1,Non-Green,A
5,0,0,concrete,green,0.72,0.23,LEED,0,0,1965,eco,renewable,industrial,5.0,1.0,0,1,Non-Green,A
6,0,0,recycled,green,0.71,0.49,LEED,0,0,2000,standard,conventional,industrial,6.28,1.98,0,0,Green,A
7,1,0,glass,flat,0.5,0.39,BREEAM,0,0,2001,standard,conventional,residential,23.69,10.85,0,1,Non-Green,C
8,1,1,steel,flat,0.42,0.65,GreenMark,1,0,1960,standard,conventional,commercial,39.54,18.54,1,1,Green,C
9,1,0,concrete,green,0.68,0.76,BREEAM,0,0,1967,standard,conventional,industrial,16.2,7.25,1,0,Non-Green,B
10,0,1,steel,green,0.34,0.69,LEED,1,0,2007,standard,conventional,institutional,19.03,8.28,0,0,Non-Green,C
11,0,0,glass,flat,0.8,0.34,BREEAM,0,1,1967,eco,conventional,commercial,25.89,12.45,0,0,Green,C
12,0,1,concrete,flat,0.7,0.23,LEED,1,0,2019,eco,renewable,institutional,6.7,3.66,0,0,Green,C
13,0,1,steel,green,0.45,0.72,BREEAM,1,1,2008,none,conventional,industrial,27.05,13.16,0,1,Non-Green,B
14,0,0,glass,green,0.6,0.43,,0,1,1969,standard,conventional,institutional,43.66,19.4,0,0,Non-Green,C
15,0,0,glass,green,0.27,0.72,LEED,0,0,1996,standard,renewable,industrial,5.0,1.21,0,0,Non-Green,A
16,1,0,bamboo,flat,0.24,0.69,BREEAM,0,0,2023,eco,renewable,industrial,8.49,3.13,1,1,Green,B
17,1,0,steel,flat,0.28,0.03,BREEAM,0,0,1963,standard,renewable,industrial,32.34,14.67,0,0,Non-Green,E
18,1,0,glass,flat,0.63,0.16,BREEAM,0,0,1973,eco,renewable,institutional,20.89,8.67,0,1,Non-Green,E
19,0,0,glass,flat,0.83,0.49,BREEAM,0,0,1973,eco,conventional,institutional,20.65,9.6,1,0,Non-Green,C
20,0,0,concrete,flat,0.25,0.65,LEED,0,1,1964,eco,conventional,residential,5.0,1.0,0,0,Non-Green,A
21,1,0,glass,flat,0.67,0.46,BREEAM,0,0,1988,standard,conventional,institutional,11.74,4.47,0,0,Non-Green,A
22,0,0,wood,flat,0.67,0.06,BREEAM,0,1,2021,none,conventional,industrial,90.61,41.86,0,0,Non-Green,E
23,1,0,glass,flat,0.83,0.24,BREEAM,0,1,1967,none,renewable,commercial,8.97,4.76,1,0,Green,A
24,0,0,steel,flat,0.64,0.5,LEED,0,0,2014,none,conventional,residential,34.63,15.88,0,1,Green,B
25,0,0,bamboo,flat,0.65,0.09,,0,0,1995,eco,conventional,residential,22.78,10.51,0,0,Green,C
26,0,1,wood,flat,0.8,0.28,,1,0,1969,standard,renewable,industrial,37.69,16.86,0,0,Non-Green,E
27,1,0,recycled,green,0.4,0.53,BREEAM,0,0,1987,none,renewable,commercial,22.1,10.75,0,1,Green,D
28,0,0,steel,flat,0.37,0.71,GreenMark,0,0,2008,standard,conventional,residential,35.08,15.48,0,1,Green,D
29,0,0,glass,flat,0.59,0.33,LEED,0,1,1977,standard,conventional,industrial,36.04,16.88,0,1,Non-Green,C
30,0,0,bamboo,green,0.72,0.36,LEED,0,0,1962,standard,conventional,industrial,23.29,11.22,0,1,Non-Green,C
31,1,0,concrete,green,0.66,0.53,LEED,0,0,1993,eco,conventional,industrial,5.0,1.39,0,1,Non-Green,A
32,0,0,glass,flat,0.48,0.7,GreenMark,0,1,1971,eco,conventional,institutional,16.32,8.18,1,1,Green,B
33,1,0,steel,flat,0.57,0.63,LEED,0,0,1992,eco,conventional,institutional,5.0,1.28,0,0,Non-Green,A
34,1,1,steel,green,0.51,0.57,BREEAM,1,0,1982,eco,conventional,residential,5.0,1.0,1,1,Green,A
35,1,1,wood,flat,0.82,0.12,LEED,1,0,1970,eco,conventional,industrial,6.37,2.46,0,0,Green,A
36,1,1,glass,green,0.21,0.68,LEED,1,0,2012,standard,conventional,commercial,32.36,14.18,0,1,Green,C
37,1,0,wood,flat,0.73,0.75,,0,1,1964,none,conventional,institutional,84.05,38.05,1,1,Green,D
38,1,0,concrete,green,0.66,0.13,BREEAM,0,1,1983,none,renewable,residential,20.77,9.71,0,1,Non-Green,D
39,1,1,bamboo,flat,0.52,0.47,LEED,1,0,1980,eco,renewable,residential,6.18,3.29,0,0,Green,D
40,0,0,glass,green,0.35,0.62,BREEAM,0,0,2008,none,conventional,industrial,41.17,18.15,0,0,Green,C
41,1,0,bamboo,flat,0.33,0.05,BREEAM,0,0,1992,standard,conventional,institutional,14.91,7.49,0,1,Green,C
